location,streams
Argentina,4160381
Australia,123507628
Austria,18299693
Belarus,5686425
Belgium,28500043
Bolivia,13019946
Brazil,430994335
Bulgaria,4569287
Canada,128894691
Chile,99521199
Columbia,88063022
Costa Rica,16025052
Cyprus,2467519
Czech Republic,22195353
Denmark,31376571
Dominican Republic,10105804
Ecuador,27777747
Egypt,25097524
El Salvador,12132235
Estonia,2654665
Finland,28535018
France,153267742
Germany,197418597
Greece,38994418
Guatamala,29304414
Honduras,9437337
Hong Kong,13006221
Iceland,2659611
India,348604505
Indonesia,358377506
Ireland,25821813
Israel,18742855
Italy,185417055
Japan,135412779
Kazakhstan,6329756
Latvia,3232879
Lithuania,4980027
Luxembourg,1756628
Malaysia,35998435
Mexico,489461401
Morocco,13356064
New Zealand,20387114
Nicaragua,5746627
Nigeria,52572190
Norway,34098968
Pakistan,14752221
Panama,7245839
Paraguay,14681041
Peru,62598232
Philippines,263889255
Poland,93291076
Romania,13897299
Saudi Arabia,7764286
Singapore,21060553
Slovakia,8733955
South Africa,26440428
South Korea,16760400
Spain,183997582
Sweden,80049722
Taiwan,31466428
Thailand,100955941
Turkey,188173543
UAE,6655166
Ukraine,11867787
United Kingdom,189062305
United States Of America,864158369
Uruguay,10510783
Venezuela,10448286
Vietnam,51722831
