location,streams,Latitude,Longitude
Argentina,4160381,-34.6085,-58.37344
Australia,123507628,-35.3065,149.1266
Austria,18299693,48.20263,16.36842
Belarus,5686425,53.90374,27.56545
Belgium,28500043,50.84439,4.35608
Bolivia,13019946,-16.49909,-68.13379
Brazil,430994335,-15.7783,-47.9291
Bulgaria,4569287,42.69718,23.32433
Canada,128894691,45.42177,-75.69122
Chile,99521199,-33.43723,-70.65003
Columbia,88063022,4.61496,-74.06942
Costa Rica,16025052,9.92975,-84.0857
Cyprus,2467519,35.17197,33.36489
Czech Republic,22195353,50.07914,14.43299
Denmark,31376571,55.67567,12.56755
Dominican Republic,10105804,18.47185,-69.89139
Ecuador,27777747,-0.20567,-78.50881
Egypt,25097524,30.04427,31.23525
El Salvador,12132235,13.69967,-89.20681
Estonia,2654665,59.43642,24.75257
Finland,28535018,60.17116,24.93265
France,153267742,48.85717,2.3414
Germany,197418597,52.51604,13.37691
Greece,38994418,37.97614,23.7364
Guatamala,29304414,18.47136,-67.03883
Honduras,9437337,14.08192,-87.20548
Hong Kong,13006221,22.27683,114.17612
Iceland,2659611,64.14748,-21.93419
India,348604505,28.63097,77.2172
Indonesia,358377506,-6.17148,106.82648
Ireland,25821813,53.34807,-6.24828
Israel,18742855,31.78003,35.21873
Italy,185417055,41.90325,12.49563
Japan,135412779,35.6895,139.69172
Kazakhstan,6329756,51.12771,71.4283
Latvia,3232879,56.94596,24.11481
Lithuania,4980027,54.69062,25.2698
Luxembourg,1756628,49.6096,6.12966
Malaysia,35998435,3.14789,101.69404
Mexico,489461401,19.43195,-99.13315
Morocco,13356064,34.01791,-6.83612
New Zealand,20387114,-41.28949,174.77686
Nicaragua,5746627,12.1172,-86.24082
Nigeria,52572190,9.06344,7.46228
Norway,34098968,59.91234,10.75
Pakistan,14752221,33.70964,73.07544
Panama,7245839,8.95241,-79.53539
Paraguay,14681041,-25.29738,-57.62776
Peru,62598232,-12.05618,-77.0268
Philippines,263889255,14.60487,120.98627
Poland,93291076,52.2356,21.01037
Romania,13897299,44.43429,26.10298
Saudi Arabia,7764286,24.68204,46.68725
Singapore,21060553,1.29087,103.85238
Slovakia,8733955,48.14924,17.10699
South Africa,26440428,-25.74579,28.18832
South Korea,16760400,37.55886,126.99989
Spain,183997582,40.41955,-3.69197
Sweden,80049722,59.33257,18.06682
Taiwan,31466428,25.03737,121.56355
Thailand,100955941,13.75336,100.50482
Turkey,188173543,39.92121,32.85393
UAE,6655166,12.26907,-14.68862
Ukraine,11867787,50.45056,30.52428
United Kingdom,189062305,51.50643,-0.12721
United States Of America,864158369,38.89036,-77.03196
Uruguay,10510783,-34.87418,-56.16294
Venezuela,10448286,10.50555,-66.91772
Vietnam,51722831,21.02884,105.85462
